rollout/exploration_rate,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate
0.9999239999999999,192,4,40,0,,,,,
0.9998708000000001,202,8,68,0,,,,,
0.99981,217,12,100,0,,,,,
0.9997492,221,16,132,0,1.0,214.0,,,
0.9996959999999999,217,20,160,0,1.0,206.0,,,
0.9996200000000001,227,24,200,0,1.0,206.0,,,
0.9995288,233,28,248,1,2.0,251.0,,,
0.9994148,242,32,308,1,2.0,248.2,,,
0.9993616,241,36,336,1,2.0,252.16666666666666,,,
0.9993084,240,40,364,1,2.0,252.16666666666666,,,
0.9992627999999999,237,44,388,1,2.0,247.42857142857142,,,
0.9992248,235,48,408,1,1.75,235.625,,,
0.9991564,237,52,444,1,1.5555555555555556,228.33333333333334,,,
0.9990044,246,56,524,2,1.7,233.0,,,
0.9989283999999999,247,60,564,2,1.7272727272727273,233.0,,,
0.9988904,245,64,584,2,1.75,231.66666666666666,,,
0.9988523999999999,247,68,604,2,1.75,231.66666666666666,,,
0.9987992000000001,248,72,632,2,1.9230769230769231,237.84615384615384,,,
0.9987688,247,76,648,2,1.9230769230769231,237.84615384615384,,,
0.9987384,246,80,664,2,1.8571428571428572,234.71428571428572,,,
0.9986775999999999,248,84,696,2,1.9333333333333333,239.33333333333334,,,
0.9985940000000001,251,88,740,2,1.8125,234.3125,,,
0.998518,252,92,780,3,1.8235294117647058,234.8235294117647,,,
0.9984419999999999,255,96,820,3,1.8235294117647058,234.8235294117647,,,
0.9984040000000001,254,100,840,3,1.8333333333333333,235.61111111111111,,,
0.9983660000000001,253,104,860,3,1.75,233.25,,,
0.998328,253,108,880,3,1.7619047619047619,232.38095238095238,,,
0.9982519999999999,255,112,920,3,1.7619047619047619,232.38095238095238,,,
0.9982064000000002,255,116,944,3,1.7619047619047619,232.38095238095238,,,
0.9981684000000001,255,120,964,3,1.6818181818181819,229.72727272727272,,,
0.9980924,255,124,1004,3,1.625,227.29166666666666,,,
0.9980315999999999,257,128,1036,4,1.625,227.29166666666666,,,
0.9979784,257,132,1064,4,1.64,228.36,,,
0.9979404000000001,256,136,1084,4,1.5769230769230769,226.5,,,
0.9979024,256,140,1104,4,1.5769230769230769,226.5,,,
0.9978416,257,144,1136,4,1.5925925925925926,225.96296296296296,,,
0.9977656000000001,258,148,1176,4,1.6071428571428572,226.71428571428572,,,
0.9977352,258,152,1192,4,1.5517241379310345,224.72413793103448,,,
0.9977048000000001,257,156,1208,4,1.5,222.26666666666668,,,
0.9976516,257,160,1236,4,1.5161290322580645,222.6451612903226,,,
0.99753,261,164,1300,4,1.5161290322580645,222.6451612903226,,,
0.9974008,264,168,1368,5,1.53125,223.96875,,,
0.9973628000000001,263,172,1388,5,1.5454545454545454,224.36363636363637,,,
0.9973172,263,176,1412,5,1.588235294117647,225.8235294117647,,,
0.9972184,265,180,1464,5,1.6571428571428573,228.37142857142857,,,
0.9971728,265,184,1488,5,1.6571428571428573,228.37142857142857,,,
0.9971196000000001,264,188,1516,5,1.6486486486486487,227.32432432432432,,,
0.9969903999999999,267,192,1584,5,1.6486486486486487,227.32432432432432,,,
0.9969372000000001,267,196,1612,6,1.6842105263157894,228.60526315789474,,,
0.9968764,268,200,1644,6,1.6842105263157894,228.60526315789474,,,
0.9968232,267,204,1672,6,1.6923076923076923,229.51282051282053,,,
0.9967623999999999,268,208,1704,6,1.7,229.725,,,
0.9966940000000001,268,212,1740,6,1.7,229.725,,,
0.9966484,268,216,1764,6,1.7560975609756098,232.0487804878049,,,
0.9965952,268,220,1792,6,1.7619047619047619,231.85714285714286,,,
0.9965419999999999,268,224,1820,6,1.744186046511628,231.67441860465115,,,
0.9964812000000001,268,228,1852,6,1.7045454545454546,230.02272727272728,,,
0.9964052,269,232,1892,7,1.7045454545454546,230.02272727272728,,,
0.9963671999999999,269,236,1912,7,1.6888888888888889,229.42222222222222,,,
0.9963139999999999,268,240,1940,7,1.7234042553191489,230.17021276595744,,,
0.9962608000000001,268,244,1968,7,1.6875,229.0,,,
0.9962152,268,248,1992,7,1.6875,229.0,,,
0.9961468,269,252,2028,7,1.653061224489796,227.3673469387755,,,
0.9960708,270,256,2068,7,1.64,226.86,,,
0.9960176000000001,269,260,2096,7,1.6274509803921569,226.58823529411765,,,
0.9959492,270,264,2132,7,1.6274509803921569,226.58823529411765,,,
0.9958732000000001,270,268,2172,8,1.6730769230769231,228.21153846153845,,,
0.9958352,270,272,2192,8,1.6730769230769231,228.21153846153845,,,
0.9957896,270,276,2216,8,1.6603773584905661,227.71698113207546,,,
0.9956831999999999,271,280,2272,8,1.6727272727272726,228.07272727272726,,,
0.995592,272,284,2320,8,1.6727272727272726,228.07272727272726,,,
0.995516,272,288,2360,8,1.6607142857142858,227.60714285714286,,,
0.9954779999999999,272,292,2380,8,1.736842105263158,231.08771929824562,,,
0.9954096,272,296,2416,8,1.7241379310344827,230.56896551724137,,,
0.9952575999999999,274,300,2496,9,1.7457627118644068,231.72881355932202,,,
0.9951892,245,304,2532,10,1.7457627118644068,231.72881355932202,,,
0.9951512,245,308,2552,10,1.75,231.81666666666666,,,
0.9950675999999999,245,312,2596,10,1.721311475409836,230.98360655737704,,,
0.9950144000000001,245,316,2624,10,1.7580645161290323,232.61290322580646,,,
0.9949536,246,320,2656,10,1.7777777777777777,233.6031746031746,,,
0.9949156,246,324,2676,10,1.765625,233.359375,,,
0.9948775999999999,246,328,2696,10,1.765625,233.359375,,,
0.9948395999999999,246,332,2716,11,1.765625,233.359375,,,
0.9946723999999999,248,336,2804,11,1.7538461538461538,232.8923076923077,,,
0.9946116,249,340,2836,11,1.7727272727272727,233.24242424242425,,,
0.9945204,250,344,2884,11,1.7727272727272727,233.24242424242425,,,
0.9944824,249,348,2904,11,1.8088235294117647,235.0735294117647,,,
0.9944443999999999,249,352,2924,11,1.8142857142857143,235.12857142857143,,,
0.994338,250,356,2980,11,1.8142857142857143,235.12857142857143,,,
